index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, ,201,陕西新闻资讯,AVS+,DRA,开锁,211,212, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, ,202,陕西都市青春,AVS+,DRA,开锁,221,222, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, ,205,陕西公共,AVS+,DRA,开锁,251,252, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195, ,101,陕西农村广播, ,MPEG-1,开锁, ,74, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,195, ,102,陕西都市广播, ,MPEG-1,开锁, ,78, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,195, ,103,陕西故事广播, ,MPEG-1,开锁, ,94, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,195, ,104,陕西戏曲广播, ,MPEG-1,开锁, ,76, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,195, ,105,陕西经济广播, ,MPEG-1,开锁, ,68, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,195, ,106,陕西音乐广播, ,MPEG-1,开锁, ,44, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,195, ,107,陕西新闻广播, ,MPEG-1,开锁, ,66, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,195, ,108,陕西青少广播, ,MPEG-1,开锁, ,80, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,195, ,109,陕西秦腔广播, ,MPEG-1,开锁, ,96, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,195, ,111,陕西交通广播, ,MPEG-1,开锁, ,42, ,16QAM PN945 4/5(0.8),亚洲波束 2024-01-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490,水平, ,富平二套,MPEG-4,MPEG-1,开锁,1278,1279,富平县庄里镇,64QAM PN420 3/5(0.6),亚洲波束 2024-01-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
